periodo;semana;dia;monto;descuento;prod;cantidad;IncluidoProdTest
1;Semana 1;Wednesday;250;0;KS_318;2;1
2;Semana 1;Wednesday;100;0;KS_546;1;1
3;Semana 1;Wednesday;100;0;KS_544;1;1
4;Semana 1;Wednesday;75;0;KS_526;1;0
5;Semana 1;Wednesday;350;0;KS_688;1;1
6;Semana 1;Wednesday;1800;0;KS_494;2;0
7;Semana 1;Wednesday;100;0;KS_548;1;1
8;Semana 1;Wednesday;2450;0;KS_386;1;1
9;Semana 1;Wednesday;1500;0;KS_682;1;0
10;Semana 1;Wednesday;750;0;KS_410;1;0
11;Semana 1;Wednesday;650;0;KS_664;1;1
12;Semana 1;Wednesday;800;0;KS_486;1;1
13;Semana 1;Wednesday;500;0;KS_408;2;0
14;Semana 1;Wednesday;800;0;KS_486;1;1
15;Semana 1;Wednesday;75;0;KS_348;1;1
16;Semana 1;Wednesday;600;0;KS_364;3;1
17;Semana 1;Wednesday;400;0;KS_366;1;1
18;Semana 1;Wednesday;1000;0;KS_406;1;1
19;Semana 1;Wednesday;800;25;KS_548;3;1
20;Semana 1;Wednesday;800;25;KS_582;3;1
21;Semana 1;Wednesday;4800;0;KS_378;1;0
22;Semana 1;Wednesday;4800;0;KS_336;1;1
23;Semana 1;Wednesday;4800;0;KS_352;1;0
24;Semana 1;Wednesday;4800;0;KS_652;4;1
25;Semana 1;Wednesday;4800;0;KS_702;1;1
26;Semana 1;Wednesday;4800;0;KS_612;2;0
27;Semana 1;Wednesday;4800;0;KS_536;2;0
28;Semana 1;Wednesday;4800;0;KS_346;2;1
29;Semana 1;Wednesday;4800;0;KS_662;1;1
30;Semana 1;Wednesday;4800;0;KS_318;1;1
31;Semana 1;Wednesday;875;0;KS_336;2;1
32;Semana 1;Wednesday;875;0;KS_318;4;1
33;Semana 1;Wednesday;875;0;KS_644;1;1
34;Semana 1;Wednesday;3150;0;KS_494;2;0
35;Semana 1;Wednesday;3150;0;KS_328;1;1
36;Semana 1;Wednesday;3150;0;KS_518;1;0
37;Semana 1;Wednesday;3150;0;KS_542;1;0
38;Semana 1;Wednesday;1200;0;KS_308;2;1
39;Semana 1;Wednesday;1150;0;KS_333;1;0
