dia;monto;descuento;prod;cantidad
Wednesday;250;0;KS_318;2
Wednesday;100;0;KS_546;1
Wednesday;100;0;KS_544;1
Wednesday;75;0;KS_526;1
Wednesday;350;0;KS_688;1
Wednesday;1800;0;KS_494;2
Wednesday;100;0;KS_548;1
Wednesday;2450;0;KS_386;1
Wednesday;1500;0;KS_682;1
Wednesday;750;0;KS_410;1
Wednesday;650;0;KS_664;1
Wednesday;800;0;KS_486;1
Wednesday;500;0;KS_408;2
Wednesday;800;0;KS_486;1
Wednesday;75;0;KS_348;1
Wednesday;600;0;KS_364;3
Wednesday;400;0;KS_366;1
Wednesday;1000;0;KS_406;1
Wednesday;800;25;KS_548;3
Wednesday;800;25;KS_582;3
Wednesday;4800;0;KS_378;1
Wednesday;4800;0;KS_336;1
Wednesday;4800;0;KS_352;1
Wednesday;4800;0;KS_652;4
Wednesday;4800;0;KS_702;1
Wednesday;4800;0;KS_612;2
Wednesday;4800;0;KS_536;2
Wednesday;4800;0;KS_346;2
Wednesday;4800;0;KS_662;1
Wednesday;4800;0;KS_318;1
Wednesday;875;0;KS_336;2
Wednesday;875;0;KS_318;4
Wednesday;875;0;KS_644;1
Wednesday;3150;0;KS_494;2
Wednesday;3150;0;KS_328;1
Wednesday;3150;0;KS_518;1
Wednesday;3150;0;KS_542;1
Wednesday;1200;0;KS_308;2
Wednesday;1150;0;KS_333;1
Wednesday;1150;0;KS_665;1
Wednesday;100;0;KS_329;1
Wednesday;100;0;KS_328;1
Wednesday;1050;0;KS_318;1
Wednesday;1050;0;KS_324;1
Wednesday;1050;0;KS_366;2
Wednesday;1175;0;KS_552;1
Wednesday;1175;0;KS_366;2
Wednesday;1150;300;KS_330;1
Wednesday;1150;300;KS_574;1
Wednesday;1150;300;KS_576;1
Wednesday;1150;300;KS_348;1
Wednesday;775;0;KS_343;1
Wednesday;775;0;KS_583;1
Wednesday;600;0;KS_337;1
Wednesday;600;0;KS_331;1
Wednesday;600;0;KS_645;1
Wednesday;350;0;KS_547;1
Wednesday;350;0;KS_325;2
Wednesday;950;0;KS_335;1
Wednesday;125;0;KS_339;1
Wednesday;2250;0;KS_468;1
Thursday;1275;0;KS_549;1
Thursday;1275;0;KS_319;1
Thursday;1275;0;KS_331;2
Thursday;1275;0;KS_329;4
Thursday;100;0;KS_329;1
Thursday;1000;0;KS_310;1
Thursday;650;0;KS_542;1
Thursday;550;0;KS_592;1
Thursday;825;0;KS_318;1
Thursday;825;0;KS_536;1
Thursday;1200;0;KS_399;1
Thursday;1200;0;KS_333;1
