dia;monto;descuento;prod;cantidad
Monday;550;0;KS_361;1
Monday;550;0;KS_367;1
Monday;550;50;KS_327;1
Monday;550;50;KS_1037;5
Monday;519.9999809;55.00000119;KS_950;1
Monday;519.9999809;55.00000119;KS_324;1
Monday;725;0;KS_1033;1
Monday;725;0;KS_1006;1
Monday;1000;0;KS_312;1
Monday;800;0;KS_486;1
Monday;500;25;KS_582;3
Monday;500;25;KS_582;3
Monday;1025;0;KS_1033;1
Monday;1025;0;KS_324;2
Monday;1025;0;KS_548;1
Monday;1025;0;KS_340;1
Monday;200;0;KS_548;2
Monday;1700;300;KS_404;1
Monday;200;0;KS_328;2
Monday;100;0;KS_546;1
Monday;650;0;KS_610;1
Monday;625;0;KS_358;1
Monday;625;0;KS_1030;1
Monday;875;0;KS_652;1
Monday;875;0;KS_548;1
Monday;875;0;KS_324;1
Monday;875;0;KS_654;1
Monday;875;0;KS_1024;1
Monday;325;0;KS_346;1
Monday;325;0;KS_360;1
Monday;325;0;KS_348;1
Monday;1394.999981;154.9999952;KS_348;4
Monday;1394.999981;154.9999952;KS_336;10
Monday;350;0;KS_326;1
Monday;1500;0;KS_688;2
Monday;1500;0;KS_1024;1
Monday;1500;0;KS_340;1
Monday;50;0;KS_630;1
Monday;50;0;KS_630;1
Monday;450;0;KS_368;2
Monday;250;0;KS_514;1
Monday;725;0;KS_366;1
Monday;725;0;KS_330;1
Monday;250;0;KS_338;2
Monday;1300;0;KS_304;1
Monday;1300;0;KS_630;1
Monday;350;0;KS_688;1
Tuesday;1910.000038;340.0000095;KS_476;1
Tuesday;719.9999809;80.00000119;KS_971;2
Tuesday;600;0;KS_366;1
Tuesday;600;0;KS_328;2
Tuesday;1000;50;KS_644;6
Tuesday;7050;350;KS_452;2
Tuesday;7050;350;KS_662;1
Tuesday;7050;350;KS_648;1
Tuesday;7050;350;KS_406;1
Tuesday;7050;350;KS_422;1
Tuesday;7050;350;KS_974;1
Tuesday;7050;350;KS_544;7
Tuesday;7050;350;KS_1030;1
Tuesday;600;100;KS_460;1
Tuesday;2700;0;KS_604;1
Tuesday;2700;0;KS_640;1
Tuesday;1200;200;KS_460;2
Tuesday;175;0;KS_582;1
Tuesday;400;0;KS_366;1
Tuesday;2250;0;KS_468;1
Tuesday;2450;0;KS_386;1
Tuesday;525;0;KS_341;1
Tuesday;525;0;KS_363;1
