indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,XGBoost
1156,0.1403582428568108,0.0542881833557738,0.2783848872470784,-0.455231378351381,0.0201108130641497,,8,2,8,2,8,2
183,-0.4324532898644891,0.1804320422855006,0.0258912923573381,-0.1333781569885112,0.5044120256293834,1.0,1,1,1,1,1,1
334,-0.0543976782684311,0.2435039717503641,-0.5385061550432579,0.3983793391762301,0.4622988767106673,,1,1,1,1,1,1
879,2.614904064212827,-1.4173901708243728,0.5308784821368189,1.196015583423342,-0.5694732717978738,,3,3,4,4,4,4
312,-0.7188590562251392,0.0542881833557738,0.2486797584365208,-0.3572760501105076,0.3991291533325933,,1,1,1,1,1,1
181,-0.3178909833202292,0.1804320422855006,0.1001541143837323,-0.1893526302690103,0.5254686000887413,3.0,1,1,1,1,1,1
362,-0.3178909833202292,0.138384089308925,0.0407438567626169,-0.147371775308636,0.4833554511700254,,1,1,1,1,1,1
299,-0.0658539089228571,0.2014560187737884,0.1892695008154054,-0.273314340189759,0.5675817490074573,,1,1,1,1,1,1
902,0.1059895508935328,0.0122402303791981,0.8873400278635112,0.5523091406976026,-1.7065282926032048,,4,4,4,4,4,4
970,-0.1116788315405611,0.3486238541918031,-0.1374869161007291,-0.1333781569885112,-0.5905298462572318,,4,4,4,4,4,4
776,1.079769156519743,0.3275998777035153,-0.8949677007699502,0.706238942218975,-0.6326429951759478,,5,5,5,3,5,5
38,0.5642387770705729,-0.1979995345036799,-0.3157176889640753,0.1464942094139842,0.0622239619828656,8.0,1,1,1,3,2,1
898,0.1059895508935328,-0.1559515815271042,-1.4742177125758251,-0.4272441417111314,1.3256184295443447,,4,4,4,6,4,4
63,-2.0019568895208515,0.3486238541918031,-0.2711599957482388,0.1744814460542337,0.6096948979261733,1.0,1,1,1,1,1,1
86,-1.0396335145490674,0.3486238541918031,-0.5088010262327003,0.3983793391762301,0.5675817490074573,8.0,1,1,1,1,1,1
250,-0.3980845979012112,0.3065759012152274,-0.1077817872901714,0.0065580262127364,0.6096948979261733,,1,1,1,1,1,1
582,-0.3980845979012112,0.2224799952620762,0.6794041261896074,-0.7490973630740013,0.6096948979261733,,2,2,2,2,2,2
823,-0.1918724461215431,-0.1979995345036799,1.4962951684799437,0.9721176903013456,-2.317168951924587,,4,4,4,4,4,4
714,1.7442305344764508,-0.3031194169451189,0.1892695008154054,0.650264468938476,-0.0009457613952082,,3,3,3,3,3,3
950,1.102681617828595,-0.7235989467108751,1.941872100638309,1.4898815681459625,-2.59090441989624,,4,4,4,4,4,4
4,-1.0510897452034933,-0.3451673699216945,-0.345422817774633,0.1744814460542337,-0.0851720592326402,1.0,1,1,1,1,1,1
908,-0.6730341336074352,1.568014490512496,3.1894875106817326,0.9161432170208468,-5.244032801775346,,4,4,4,4,4,4
967,0.1403582428568108,0.5588636190746812,-1.2514292464966426,-0.7490973630740013,0.7149777702229632,,4,4,4,5,4,4
1122,3.668877284420019,5.247210375962863,6.976891434027837,7.577105537400238,-3.770072589620288,,7,5,7,7,7,7
512,-0.6959465949162872,-0.1559515815271042,-0.4048330753957484,0.2444495376548576,0.1043371109015816,,1,1,1,1,1,1
361,-0.7417715175339913,0.1594080657972128,0.0258912923573381,-0.1333781569885112,0.4833554511700254,,1,1,1,1,1,1
759,0.4267640092174609,-0.513359181827997,-0.2860125601535176,0.2724367742951071,0.1043371109015816,,3,1,3,3,3,3
437,-0.0773101395772831,-0.2400474874802555,-0.3899805109904695,0.216462301014608,0.0201108130641497,,1,1,1,1,1,1
202,-0.2262411380848211,0.138384089308925,0.1447118075995689,-0.2453271035495094,0.4833554511700254,1.0,1,1,1,1,1,1
708,1.4692809987702269,0.3696478306800909,0.0110387279520592,0.6922453238988503,-0.274681229366862,,3,3,3,3,3,3
774,1.079769156519743,-0.3031194169451189,-0.0929292228848926,0.3843857208561053,-0.0220023358545662,,3,3,3,3,3,3
981,0.1059895508935328,-0.7235989467108751,-0.8504100075541137,-0.2313334852293846,-0.6326429951759478,,6,2,1,4,5,5
940,0.7017135449236848,-2.195277300891022,0.4863207889209824,1.62981775134721,-0.1483417826107141,,4,4,4,4,4,3
1155,-0.6501216722985832,0.579887595562969,0.5457310465420977,-0.8050718363545003,0.3991291533325933,,2,2,8,2,2,1
798,2.053548762145953,-0.1979995345036799,0.4120579668945882,0.8741623620604723,-0.0430589103139242,,3,3,3,3,3,3
663,0.839188312776797,0.2645279482386519,0.709109255000165,-0.7770845997142509,0.6518080468448892,,2,2,2,2,2,2
614,0.3351141639820529,-0.0928796520622408,-0.7018843635013252,0.524321904057353,0.1253936853609396,,1,2,1,3,1,1
212,-0.4897344431366192,0.3486238541918031,0.1744169364101266,-0.2313334852293846,0.7149777702229632,4.0,1,1,1,1,1,1
1160,-0.2147849074303951,0.5378396425863934,0.4863207889209824,-0.7490973630740013,0.3991291533325933,,2,2,8,2,2,2
414,-1.0052648225857892,0.0542881833557738,0.0704489855731747,-0.1893526302690103,0.3570160044138775,,1,1,1,1,1,1
192,-0.1345912928494131,0.138384089308925,0.1447118075995689,-0.2453271035495094,0.4833554511700254,8.0,1,1,1,1,1,1
721,1.1485065404462986,-0.0508316990856652,-0.1226343516954503,0.4123729574963549,-0.1483417826107141,,3,3,3,3,3,3
767,1.583843305314487,-1.0179346175469044,-0.731589492311883,0.650264468938476,0.5044120256293834,,3,3,3,3,3,3
76,-1.406232895490699,0.0122402303791981,-0.1226343516954503,-0.0074355921073883,0.3149028554951614,2.0,1,1,1,1,1,1
717,0.4840451624895909,0.1594080657972128,0.12985924319429,0.6782517055787255,-0.1904549315294301,,3,3,3,3,3,3
280,-0.1689599848126911,0.4116957836566666,0.1001541143837323,-0.147371775308636,0.7781474936010371,,1,1,1,1,1,1
167,-1.4291453567995511,0.1804320422855006,-0.3008651245587965,0.1744814460542337,0.4412423022513093,5.0,1,1,1,1,1,1
853,0.4840451624895909,-0.4082392993865579,0.5011733533262613,0.6082836139781017,-1.0116613354443915,,4,4,4,4,4,4
619,1.675493150549895,1.0844630312818764,-0.2563074313429599,0.1884750643743585,1.3466750040037028,,2,2,1,4,5,1
1071,0.2434643187466448,-0.7866708761757385,0.0704489855731747,0.0625324994932355,0.6728646213042473,,6,4,6,2,6,1
552,0.5642387770705729,0.0963361363323494,-0.0186664008584984,-0.1053909203482617,0.3780725788732355,,2,2,1,1,1,1
839,0.3007454720187749,-0.3031194169451189,1.0804233651321362,0.832181507100098,-1.7696980159812787,,4,4,4,4,4,4
1115,0.3236579333276269,-1.270222335406358,-3.1971151835881715,-2.610248599650596,0.2727897065764454,,7,7,7,7,7,7
833,-0.3866283672467852,0.9793431488404372,1.570557990506338,0.3563984842158558,-3.0120359090834,,4,4,4,4,4,4
79,-1.3489517422185693,0.0963361363323494,0.0110387279520592,-0.1193845386683865,0.4201857277919513,1.0,1,1,1,1,1,1
1108,-0.0658539089228571,-3.372619984235139,-6.360711401912566,-5.7728063399987946,1.6835801953534302,,7,7,5,7,6,7
13,0.2090956267833668,-0.0087837461090896,-0.152339480506008,0.0205516445328612,0.2938462810358034,1.0,2,1,1,1,1,1
1008,-0.5928405190264531,-3.3936439607234266,-2.350519012487277,-2.288395378287726,-2.0644900584122903,,5,6,5,7,5,5
1032,0.3351141639820529,-0.3872153228982702,-0.6276215414749311,0.034545262852986,-0.4431338250417259,,1,1,4,3,4,5
782,1.1828752324095768,-0.4292632758748458,-0.5682112838538157,0.2584431559749824,0.2938462810358034,,3,3,3,3,3,3
327,0.3351141639820529,0.2224799952620762,0.0407438567626169,-0.1333781569885112,0.5675817490074573,,1,1,1,1,1,1
394,-1.0854584371667713,0.3486238541918031,-0.1077817872901714,0.0205516445328612,0.6518080468448892,,1,1,1,1,1,1
106,-1.119827129130049,0.2645279482386519,-0.0929292228848926,-0.0074355921073883,0.5675817490074573,1.0,1,1,1,1,1,1
214,-0.6386654416441572,0.4116957836566666,0.0853015499784535,-0.1333781569885112,0.7781474936010371,4.0,1,1,1,1,1,1
2,0.2663767800554968,-0.3241433934334067,-0.2860125601535176,0.1185069727737346,-0.0641154847732822,1.0,1,1,1,3,1,1
419,-0.7303152868795653,0.4327197601449543,-0.2414548669376811,0.1604878277341089,0.7149777702229632,,1,1,1,1,1,1
17,-1.9332195055942956,0.0122402303791981,-0.1671920449112868,0.034545262852986,0.2938462810358034,4.0,1,1,1,1,1,1
563,2.122286146072509,-0.6184790642694361,0.7833720770265593,-0.889033546275249,-0.2536246549075041,,2,2,2,2,2,2
478,-1.0969146678211972,-0.0508316990856652,-0.3751279465851907,0.216462301014608,0.2096199831983715,,1,1,1,1,1,1
780,1.4463685374613748,-0.3031194169451189,0.1892695008154054,0.650264468938476,-0.0009457613952082,,3,3,3,3,3,3
274,-1.3374955115641434,0.3696478306800909,-0.1820446093165657,0.090519736133485,0.6518080468448892,,1,1,1,1,1,1
946,-0.6386654416441572,0.0122402303791981,0.2783848872470784,0.2584431559749824,-0.9484916120663176,,4,4,4,4,4,4
987,0.3236579333276269,-1.8588936770784168,0.1150066787890111,-0.7351037447538765,0.9676566637352588,,5,6,5,6,5,6
407,-0.7646839788428432,0.4327197601449543,-0.1820446093165657,0.1045133544536098,0.7149777702229632,,1,1,1,1,1,1
226,0.2434643187466448,-0.0928796520622408,0.0853015499784535,-0.2173398669092599,0.2096199831983715,9.0,1,1,1,1,1,1
72,-1.3374955115641434,0.2435039717503641,0.0110387279520592,-0.1053909203482617,0.5675817490074573,5.0,1,1,1,1,1,1
584,0.9881193112843348,0.1804320422855006,0.6645515617843286,-0.7490973630740013,0.5465251745480993,,2,2,2,2,2,2
812,0.4267640092174609,-0.4713112288514214,0.426910531299867,0.6082836139781017,-0.9063784631476014,,4,4,4,4,4,4
256,-0.1804162154671171,0.0753121598440615,0.0853015499784535,-0.1893526302690103,0.3991291533325933,,1,1,1,1,1,1
170,-0.2949785220113771,0.2224799952620762,0.12985924319429,-0.2173398669092599,0.5675817490074573,1.0,1,1,1,1,1,1
180,-0.4553657511733411,0.1804320422855006,0.0555964211678958,-0.147371775308636,0.5254686000887413,1.0,1,1,1,1,1,1
