,multiclase1,ova_5,ova_1,ova_4,ova_6,ova_3,ova_2,ova_7,ova_9,ova_8
0,5,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0
2,4,0,0,1,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0
4,4,0,0,1,0,0,0,0,0,0
5,4,0,0,1,0,0,0,0,0,0
6,4,0,0,1,0,0,0,0,0,0
7,1,0,1,0,0,0,0,0,0,0
8,1,0,1,0,0,0,0,0,0,0
9,1,0,1,0,0,0,0,0,0,0
10,4,0,0,1,0,0,0,0,0,0
11,1,0,1,0,0,0,0,0,0,0
12,6,0,0,0,1,0,0,0,0,0
13,1,0,1,0,0,0,0,0,0,0
14,3,0,0,0,0,1,0,0,0,0
15,2,0,0,0,0,0,1,0,0,0
16,4,0,0,1,0,0,0,0,0,0
17,4,0,0,1,0,0,0,0,0,0
18,1,0,1,0,0,0,0,0,0,0
19,7,0,0,0,0,0,0,1,0,0
20,1,0,1,0,0,0,0,0,0,0
21,3,0,0,0,0,1,0,0,0,0
22,2,0,0,0,0,0,1,0,0,0
23,3,0,0,0,0,1,0,0,0,0
24,1,0,1,0,0,0,0,0,0,0
25,5,1,0,0,0,0,0,0,0,0
26,4,0,0,1,0,0,0,0,0,0
27,3,0,0,0,0,1,0,0,0,0
28,4,0,0,1,0,0,0,0,0,0
29,1,0,1,0,0,0,0,0,0,0
30,1,0,1,0,0,0,0,0,0,0
31,1,0,1,0,0,0,0,0,0,0
32,1,0,1,0,0,0,0,0,0,0
33,1,0,1,0,0,0,0,0,0,0
34,1,0,1,0,0,0,0,0,0,0
35,5,1,0,0,0,0,0,0,0,0
36,1,0,1,0,0,0,0,0,0,0
37,1,0,1,0,0,0,0,0,0,0
38,1,0,1,0,0,0,0,0,0,0
39,4,0,0,1,0,0,0,0,0,0
40,1,0,1,0,0,0,0,0,0,0
41,4,0,0,1,0,0,0,0,0,0
42,9,0,0,0,0,0,0,0,1,0
43,2,0,0,0,0,0,1,0,0,0
44,3,0,0,0,0,1,0,0,0,0
45,5,1,0,0,0,0,0,0,0,0
46,1,0,1,0,0,0,0,0,0,0
47,4,0,0,1,0,0,0,0,0,0
48,1,0,1,0,0,0,0,0,0,0
49,1,0,1,0,0,0,0,0,0,0
50,9,0,0,0,0,0,0,0,1,0
51,5,1,0,0,0,0,0,0,0,0
52,2,0,0,0,0,0,1,0,0,0
53,1,0,1,0,0,0,0,0,0,0
54,5,1,0,0,0,0,0,0,0,0
55,2,0,0,0,0,0,1,0,0,0
56,4,0,0,1,0,0,0,0,0,0
57,5,1,0,0,0,0,0,0,0,0
58,1,0,1,0,0,0,0,0,0,0
59,1,0,1,0,0,0,0,0,0,0
60,9,0,0,0,0,0,0,0,1,0
61,4,0,0,1,0,0,0,0,0,0
62,4,0,0,1,0,0,0,0,0,0
63,2,0,0,0,0,0,1,0,0,0
64,2,0,0,0,0,0,1,0,0,0
65,2,0,0,0,0,0,1,0,0,0
66,1,0,1,0,0,0,0,0,0,0
67,3,0,0,0,0,1,0,0,0,0
68,1,0,1,0,0,0,0,0,0,0
69,2,0,0,0,0,0,1,0,0,0
70,1,0,1,0,0,0,0,0,0,0
71,1,0,1,0,0,0,0,0,0,0
72,1,0,1,0,0,0,0,0,0,0
73,1,0,1,0,0,0,0,0,0,0
74,3,0,0,0,0,1,0,0,0,0
75,1,0,1,0,0,0,0,0,0,0
76,8,0,0,0,0,0,0,0,0,1
77,1,0,1,0,0,0,0,0,0,0
78,1,0,1,0,0,0,0,0,0,0
79,6,0,0,0,1,0,0,0,0,0
80,4,0,0,1,0,0,0,0,0,0
81,5,1,0,0,0,0,0,0,0,0
82,1,0,1,0,0,0,0,0,0,0
83,1,0,1,0,0,0,0,0,0,0
84,1,0,1,0,0,0,0,0,0,0
85,6,0,0,0,1,0,0,0,0,0
86,1,0,1,0,0,0,0,0,0,0
87,7,0,0,0,0,0,0,1,0,0
88,2,0,0,0,0,0,1,0,0,0
89,1,0,1,0,0,0,0,0,0,0
90,1,0,1,0,0,0,0,0,0,0
91,2,0,0,0,0,0,1,0,0,0
92,8,0,0,0,0,0,0,0,0,1
93,1,0,1,0,0,0,0,0,0,0
94,1,0,1,0,0,0,0,0,0,0
95,1,0,1,0,0,0,0,0,0,0
96,8,0,0,0,0,0,0,0,0,1
97,1,0,1,0,0,0,0,0,0,0
98,4,0,0,1,0,0,0,0,0,0
99,3,0,0,0,0,1,0,0,0,0
100,1,0,1,0,0,0,0,0,0,0
101,1,0,1,0,0,0,0,0,0,0
102,1,0,1,0,0,0,0,0,0,0
103,1,0,1,0,0,0,0,0,0,0
104,1,0,1,0,0,0,0,0,0,0
105,1,0,1,0,0,0,0,0,0,0
106,1,0,1,0,0,0,0,0,0,0
107,2,0,0,0,0,0,1,0,0,0
108,4,0,0,1,0,0,0,0,0,0
109,1,0,1,0,0,0,0,0,0,0
110,1,0,1,0,0,0,0,0,0,0
111,1,0,1,0,0,0,0,0,0,0
112,1,0,1,0,0,0,0,0,0,0
113,1,0,1,0,0,0,0,0,0,0
114,2,0,0,0,0,0,1,0,0,0
115,1,0,1,0,0,0,0,0,0,0
116,2,0,0,0,0,0,1,0,0,0
117,3,0,0,0,0,1,0,0,0,0
118,4,0,0,1,0,0,0,0,0,0
119,4,0,0,1,0,0,0,0,0,0
120,4,0,0,1,0,0,0,0,0,0
121,3,0,0,0,0,1,0,0,0,0
122,2,0,0,0,0,0,1,0,0,0
123,1,0,1,0,0,0,0,0,0,0
124,4,0,0,1,0,0,0,0,0,0
125,3,0,0,0,0,1,0,0,0,0
126,4,0,0,1,0,0,0,0,0,0
127,4,0,0,1,0,0,0,0,0,0
128,2,0,0,0,0,0,1,0,0,0
129,3,0,0,0,0,1,0,0,0,0
130,3,0,0,0,0,1,0,0,0,0
131,1,0,1,0,0,0,0,0,0,0
132,4,0,0,1,0,0,0,0,0,0
133,1,0,1,0,0,0,0,0,0,0
134,5,1,0,0,0,0,0,0,0,0
135,1,0,1,0,0,0,0,0,0,0
136,1,0,1,0,0,0,0,0,0,0
137,5,1,0,0,0,0,0,0,0,0
138,1,0,1,0,0,0,0,0,0,0
139,1,0,1,0,0,0,0,0,0,0
140,1,0,1,0,0,0,0,0,0,0
141,4,0,0,1,0,0,0,0,0,0
142,1,0,1,0,0,0,0,0,0,0
143,3,0,0,0,0,1,0,0,0,0
144,4,0,0,1,0,0,0,0,0,0
145,2,0,0,0,0,0,1,0,0,0
146,1,0,1,0,0,0,0,0,0,0
147,1,0,1,0,0,0,0,0,0,0
148,2,0,0,0,0,0,1,0,0,0
149,1,0,1,0,0,0,0,0,0,0
150,1,0,1,0,0,0,0,0,0,0
151,3,0,0,0,0,1,0,0,0,0
152,1,0,1,0,0,0,0,0,0,0
153,5,1,0,0,0,0,0,0,0,0
154,1,0,1,0,0,0,0,0,0,0
155,6,0,0,0,1,0,0,0,0,0
156,3,0,0,0,0,1,0,0,0,0
157,2,0,0,0,0,0,1,0,0,0
158,1,0,1,0,0,0,0,0,0,0
159,5,1,0,0,0,0,0,0,0,0
160,4,0,0,1,0,0,0,0,0,0
161,1,0,1,0,0,0,0,0,0,0
162,5,1,0,0,0,0,0,0,0,0
163,3,0,0,0,0,1,0,0,0,0
164,1,0,1,0,0,0,0,0,0,0
165,6,0,0,0,1,0,0,0,0,0
166,5,1,0,0,0,0,0,0,0,0
167,1,0,1,0,0,0,0,0,0,0
168,1,0,1,0,0,0,0,0,0,0
169,1,0,1,0,0,0,0,0,0,0
170,1,0,1,0,0,0,0,0,0,0
171,1,0,1,0,0,0,0,0,0,0
172,4,0,0,1,0,0,0,0,0,0
173,2,0,0,0,0,0,1,0,0,0
174,1,0,1,0,0,0,0,0,0,0
175,1,0,1,0,0,0,0,0,0,0
176,2,0,0,0,0,0,1,0,0,0
177,1,0,1,0,0,0,0,0,0,0
178,1,0,1,0,0,0,0,0,0,0
179,1,0,1,0,0,0,0,0,0,0
180,3,0,0,0,0,1,0,0,0,0
181,6,0,0,0,1,0,0,0,0,0
182,6,0,0,0,1,0,0,0,0,0
183,5,1,0,0,0,0,0,0,0,0
184,2,0,0,0,0,0,1,0,0,0
185,1,0,1,0,0,0,0,0,0,0
186,1,0,1,0,0,0,0,0,0,0
187,1,0,1,0,0,0,0,0,0,0
188,1,0,1,0,0,0,0,0,0,0
189,2,0,0,0,0,0,1,0,0,0
190,2,0,0,0,0,0,1,0,0,0
191,4,0,0,1,0,0,0,0,0,0
192,1,0,1,0,0,0,0,0,0,0
193,5,1,0,0,0,0,0,0,0,0
194,3,0,0,0,0,1,0,0,0,0
195,2,0,0,0,0,0,1,0,0,0
196,1,0,1,0,0,0,0,0,0,0
197,1,0,1,0,0,0,0,0,0,0
198,4,0,0,1,0,0,0,0,0,0
199,1,0,1,0,0,0,0,0,0,0
200,3,0,0,0,0,1,0,0,0,0
201,3,0,0,0,0,1,0,0,0,0
202,3,0,0,0,0,1,0,0,0,0
203,1,0,1,0,0,0,0,0,0,0
204,5,1,0,0,0,0,0,0,0,0
205,1,0,1,0,0,0,0,0,0,0
206,1,0,1,0,0,0,0,0,0,0
207,1,0,1,0,0,0,0,0,0,0
208,1,0,1,0,0,0,0,0,0,0
209,8,0,0,0,0,0,0,0,0,1
210,7,0,0,0,0,0,0,1,0,0
211,3,0,0,0,0,1,0,0,0,0
212,2,0,0,0,0,0,1,0,0,0
213,4,0,0,1,0,0,0,0,0,0
214,5,1,0,0,0,0,0,0,0,0
215,1,0,1,0,0,0,0,0,0,0
216,1,0,1,0,0,0,0,0,0,0
217,4,0,0,1,0,0,0,0,0,0
218,8,0,0,0,0,0,0,0,0,1
219,1,0,1,0,0,0,0,0,0,0
220,1,0,1,0,0,0,0,0,0,0
221,1,0,1,0,0,0,0,0,0,0
222,7,0,0,0,0,0,0,1,0,0
223,1,0,1,0,0,0,0,0,0,0
224,2,0,0,0,0,0,1,0,0,0
225,3,0,0,0,0,1,0,0,0,0
226,1,0,1,0,0,0,0,0,0,0
227,1,0,1,0,0,0,0,0,0,0
228,1,0,1,0,0,0,0,0,0,0
229,4,0,0,1,0,0,0,0,0,0
230,6,0,0,0,1,0,0,0,0,0
231,2,0,0,0,0,0,1,0,0,0
232,2,0,0,0,0,0,1,0,0,0
233,1,0,1,0,0,0,0,0,0,0
234,1,0,1,0,0,0,0,0,0,0
235,4,0,0,1,0,0,0,0,0,0
236,1,0,1,0,0,0,0,0,0,0
237,3,0,0,0,0,1,0,0,0,0
238,9,0,0,0,0,0,0,0,1,0
239,2,0,0,0,0,0,1,0,0,0
240,1,0,1,0,0,0,0,0,0,0
241,5,1,0,0,0,0,0,0,0,0
242,1,0,1,0,0,0,0,0,0,0
243,4,0,0,1,0,0,0,0,0,0
244,1,0,1,0,0,0,0,0,0,0
245,6,0,0,0,1,0,0,0,0,0
246,4,0,0,1,0,0,0,0,0,0
247,4,0,0,1,0,0,0,0,0,0
248,3,0,0,0,0,1,0,0,0,0
249,1,0,1,0,0,0,0,0,0,0
250,1,0,1,0,0,0,0,0,0,0
251,1,0,1,0,0,0,0,0,0,0
252,4,0,0,1,0,0,0,0,0,0
253,1,0,1,0,0,0,0,0,0,0
254,2,0,0,0,0,0,1,0,0,0
255,4,0,0,1,0,0,0,0,0,0
256,3,0,0,0,0,1,0,0,0,0
257,1,0,1,0,0,0,0,0,0,0
258,4,0,0,1,0,0,0,0,0,0
259,1,0,1,0,0,0,0,0,0,0
260,1,0,1,0,0,0,0,0,0,0
261,1,0,1,0,0,0,0,0,0,0
262,1,0,1,0,0,0,0,0,0,0
263,1,0,1,0,0,0,0,0,0,0
264,3,0,0,0,0,1,0,0,0,0
265,5,1,0,0,0,0,0,0,0,0
266,8,0,0,0,0,0,0,0,0,1
267,1,0,1,0,0,0,0,0,0,0
268,1,0,1,0,0,0,0,0,0,0
269,1,0,1,0,0,0,0,0,0,0
270,2,0,0,0,0,0,1,0,0,0
271,2,0,0,0,0,0,1,0,0,0
272,7,0,0,0,0,0,0,1,0,0
273,1,0,1,0,0,0,0,0,0,0
274,5,1,0,0,0,0,0,0,0,0
275,4,0,0,1,0,0,0,0,0,0
276,1,0,1,0,0,0,0,0,0,0
277,3,0,0,0,0,1,0,0,0,0
278,4,0,0,1,0,0,0,0,0,0
279,1,0,1,0,0,0,0,0,0,0
280,1,0,1,0,0,0,0,0,0,0
281,6,0,0,0,1,0,0,0,0,0
282,1,0,1,0,0,0,0,0,0,0
283,5,1,0,0,0,0,0,0,0,0
284,1,0,1,0,0,0,0,0,0,0
285,1,0,1,0,0,0,0,0,0,0
286,1,0,1,0,0,0,0,0,0,0
287,1,0,1,0,0,0,0,0,0,0
288,2,0,0,0,0,0,1,0,0,0
289,3,0,0,0,0,1,0,0,0,0
290,3,0,0,0,0,1,0,0,0,0
291,1,0,1,0,0,0,0,0,0,0
292,4,0,0,1,0,0,0,0,0,0
293,8,0,0,0,0,0,0,0,0,1
294,1,0,1,0,0,0,0,0,0,0
295,4,0,0,1,0,0,0,0,0,0
296,8,0,0,0,0,0,0,0,0,1
297,3,0,0,0,0,1,0,0,0,0
298,1,0,1,0,0,0,0,0,0,0
299,6,0,0,0,1,0,0,0,0,0
300,1,0,1,0,0,0,0,0,0,0
301,1,0,1,0,0,0,0,0,0,0
302,6,0,0,0,1,0,0,0,0,0
303,1,0,1,0,0,0,0,0,0,0
304,1,0,1,0,0,0,0,0,0,0
305,4,0,0,1,0,0,0,0,0,0
306,1,0,1,0,0,0,0,0,0,0
307,5,1,0,0,0,0,0,0,0,0
308,5,1,0,0,0,0,0,0,0,0
309,2,0,0,0,0,0,1,0,0,0
310,4,0,0,1,0,0,0,0,0,0
311,5,1,0,0,0,0,0,0,0,0
312,1,0,1,0,0,0,0,0,0,0
313,1,0,1,0,0,0,0,0,0,0
314,1,0,1,0,0,0,0,0,0,0
315,1,0,1,0,0,0,0,0,0,0
316,4,0,0,1,0,0,0,0,0,0
317,4,0,0,1,0,0,0,0,0,0
318,4,0,0,1,0,0,0,0,0,0
319,3,0,0,0,0,1,0,0,0,0
320,1,0,1,0,0,0,0,0,0,0
321,1,0,1,0,0,0,0,0,0,0
322,1,0,1,0,0,0,0,0,0,0
323,5,1,0,0,0,0,0,0,0,0
324,8,0,0,0,0,0,0,0,0,1
325,4,0,0,1,0,0,0,0,0,0
326,1,0,1,0,0,0,0,0,0,0
327,1,0,1,0,0,0,0,0,0,0
328,1,0,1,0,0,0,0,0,0,0
329,4,0,0,1,0,0,0,0,0,0
330,1,0,1,0,0,0,0,0,0,0
331,1,0,1,0,0,0,0,0,0,0
332,1,0,1,0,0,0,0,0,0,0
333,3,0,0,0,0,1,0,0,0,0
334,5,1,0,0,0,0,0,0,0,0
335,3,0,0,0,0,1,0,0,0,0
336,1,0,1,0,0,0,0,0,0,0
337,1,0,1,0,0,0,0,0,0,0
338,1,0,1,0,0,0,0,0,0,0
339,3,0,0,0,0,1,0,0,0,0
340,3,0,0,0,0,1,0,0,0,0
