indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,XGBoost
3659,0.0348971314878915,-2.6823493135116614,-5.576992203999224,-4.968775640056826,1.1650744865274738,0,0,0,0,0,0,0
2352,0.7464979456151368,0.5381669889761633,1.8380583208685224,0.7341535512977122,-3.1176466353251384,1,0,0,0,0,0,0
1821,1.9882763425112069,-0.2279458112750102,0.449080613785935,0.9040608520640356,-0.0355607330903226,0,0,0,0,0,0,0
2488,0.7456724549169347,0.1520079421697125,-0.2117497381271234,0.4884062459262132,-0.0024817458223876,0,0,0,0,0,0,0
302,-0.2376973687392471,0.138384089308925,0.2486797584365208,-0.3432824317903828,0.5044120256293834,0,0,0,0,0,0,0
1952,1.384752953056368,-1.1049255603792418,-0.8114816172082794,0.7371165959836388,0.5566875197365796,0,0,0,0,0,0,0
2135,-1.4987235865546085,-3.8812147997997655,0.4119261117472771,2.599328266473455,0.7011062155842509,1,0,0,0,0,0,0
10,-0.2720660607025251,0.2645279482386519,-0.1374869161007291,0.034545262852986,0.5675817490074573,0,0,0,0,0,0,0
1956,2.0991100914635057,0.0936476724005771,-0.3077787988297267,0.3793393485885058,-0.2849672740946635,0,0,0,0,0,0,0
1974,1.1503202477481096,-0.0341895150985703,-0.1320399599884591,0.4145883744595391,-0.1583425753670935,0,0,0,0,0,0,0
2275,0.3925936162912094,-0.2136158877979866,1.265694789534627,0.8564079348366027,-2.0377744934833104,1,0,0,0,0,0,0
4725,-1.5140790246922604,-1.824643137914552,0.1554767650529887,-0.7873457823470318,0.835809973273887,0,0,0,0,0,0,0
3324,0.3138988671061368,-1.2164940931134227,-3.3014962931074723,-2.699652775411229,0.1965566792686644,0,0,0,0,0,0,0
3757,-0.1505750343447715,2.4595378988029357,-3.3072411331926226,-2.2883262538691485,-3.477955320781245,0,0,0,0,0,0,0
366,-0.5126469044454711,0.1804320422855006,-0.1968971737218445,0.0765261178133603,0.4622988767106673,0,0,0,0,0,0,0
3188,0.1556417073774261,-2.169158019289496,-1.0621560593745416,-1.2592227014010895,-0.085470527728745,0,1,1,1,1,1,1
1181,1.3315809050035583,-0.1967590095391327,0.1263537261590028,-0.2697363201540522,0.126221984304901,0,0,0,0,0,0,0
134,-1.383320434181847,0.3065759012152274,0.0704489855731747,-0.147371775308636,0.6518080468448892,0,0,0,0,0,0,0
1565,1.3327335259455693,-0.2904998169976394,-0.0715474237613049,0.4045309784539597,-0.035480632364144,0,0,0,0,0,0,0
496,0.4153077785630348,-0.2820954404568311,-0.8207048787435561,0.6222772322982265,-0.0430589103139242,0,0,0,0,0,0,0
2133,1.1136849339686388,-0.7370608183508348,1.9085862184547844,1.4854014381926908,-2.5504561865127444,1,0,0,0,0,0,0
