,multiclase1,ova_1,ova_7,ova_9,ova_3,ova_4,ova_2,ova_6,ova_5,ova_8
189,1,1,0,0,0,0,0,0,0,0
3734,7,0,1,0,0,0,0,0,0,0
4803,9,0,0,1,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0,0,0
721,3,0,0,0,1,0,0,0,0,0
858,4,0,0,0,0,1,0,0,0,0
952,4,0,0,0,0,1,0,0,0,0
1527,2,0,0,0,0,0,1,0,0,0
2896,6,0,0,0,0,0,0,1,0,0
1372,2,0,0,0,0,0,1,0,0,0
3310,7,0,1,0,0,0,0,0,0,0
174,1,1,0,0,0,0,0,0,0,0
3338,7,0,1,0,0,0,0,0,0,0
2438,5,0,0,0,0,0,0,0,1,0
2664,5,0,0,0,0,0,0,0,1,0
2966,6,0,0,0,0,0,0,1,0,0
2531,5,0,0,0,0,0,0,0,1,0
937,4,0,0,0,0,1,0,0,0,0
3620,7,0,1,0,0,0,0,0,0,0
3196,6,0,0,0,0,0,0,1,0,0
1691,3,0,0,0,1,0,0,0,0,0
2481,5,0,0,0,0,0,0,0,1,0
2482,5,0,0,0,0,0,0,0,1,0
2746,5,0,0,0,0,0,0,0,1,0
2206,4,0,0,0,0,1,0,0,0,0
2336,4,0,0,0,0,1,0,0,0,0
2480,5,0,0,0,0,0,0,0,1,0
818,4,0,0,0,0,1,0,0,0,0
4145,8,0,0,0,0,0,0,0,0,1
1147,8,0,0,0,0,0,0,0,0,1
1012,5,0,0,0,0,0,0,0,1,0
4222,8,0,0,0,0,0,0,0,0,1
2284,4,0,0,0,0,1,0,0,0,0
3053,6,0,0,0,0,0,0,1,0,0
1078,6,0,0,0,0,0,0,1,0,0
469,1,1,0,0,0,0,0,0,0,0
3218,6,0,0,0,0,0,0,1,0,0
2459,5,0,0,0,0,0,0,0,1,0
1645,3,0,0,0,1,0,0,0,0,0
1557,3,0,0,0,1,0,0,0,0,0
2965,6,0,0,0,0,0,0,1,0,0
541,2,0,0,0,0,0,1,0,0,0
3287,6,0,0,0,0,0,0,1,0,0
3824,8,0,0,0,0,0,0,0,0,1
2158,4,0,0,0,0,1,0,0,0,0
3819,8,0,0,0,0,0,0,0,0,1
159,1,1,0,0,0,0,0,0,0,0
2704,5,0,0,0,0,0,0,0,1,0
416,1,1,0,0,0,0,0,0,0,0
1640,3,0,0,0,1,0,0,0,0,0
4745,9,0,0,1,0,0,0,0,0,0
1064,6,0,0,0,0,0,0,1,0,0
656,2,0,0,0,0,0,1,0,0,0
4098,8,0,0,0,0,0,0,0,0,1
2578,5,0,0,0,0,0,0,0,1,0
3843,8,0,0,0,0,0,0,0,0,1
1344,2,0,0,0,0,0,1,0,0,0
2466,5,0,0,0,0,0,0,0,1,0
3773,7,0,1,0,0,0,0,0,0,0
333,1,1,0,0,0,0,0,0,0,0
1907,3,0,0,0,1,0,0,0,0,0
1136,8,0,0,0,0,0,0,0,0,1
3079,6,0,0,0,0,0,0,1,0,0
1301,2,0,0,0,0,0,1,0,0,0
1426,2,0,0,0,0,0,1,0,0,0
543,2,0,0,0,0,0,1,0,0,0
2845,6,0,0,0,0,0,0,1,0,0
2682,5,0,0,0,0,0,0,0,1,0
3164,6,0,0,0,0,0,0,1,0,0
790,3,0,0,0,1,0,0,0,0,0
1782,3,0,0,0,1,0,0,0,0,0
3844,8,0,0,0,0,0,0,0,0,1
4775,9,0,0,1,0,0,0,0,0,0
2786,5,0,0,0,0,0,0,0,1,0
1543,2,0,0,0,0,0,1,0,0,0
2633,5,0,0,0,0,0,0,0,1,0
930,4,0,0,0,0,1,0,0,0,0
349,1,1,0,0,0,0,0,0,0,0
2153,4,0,0,0,0,1,0,0,0,0
1339,2,0,0,0,0,0,1,0,0,0
1330,2,0,0,0,0,0,1,0,0,0
2849,6,0,0,0,0,0,0,1,0,0
1952,3,0,0,0,1,0,0,0,0,0
1764,3,0,0,0,1,0,0,0,0,0
3680,7,0,1,0,0,0,0,0,0,0
388,1,1,0,0,0,0,0,0,0,0
3906,8,0,0,0,0,0,0,0,0,1
3511,7,0,1,0,0,0,0,0,0,0
3717,7,0,1,0,0,0,0,0,0,0
3749,7,0,1,0,0,0,0,0,0,0
1614,3,0,0,0,1,0,0,0,0,0
1693,3,0,0,0,1,0,0,0,0,0
4089,8,0,0,0,0,0,0,0,0,1
322,1,1,0,0,0,0,0,0,0,0
2105,4,0,0,0,0,1,0,0,0,0
1572,3,0,0,0,1,0,0,0,0,0
3677,7,0,1,0,0,0,0,0,0,0
4792,9,0,0,1,0,0,0,0,0,0
942,4,0,0,0,0,1,0,0,0,0
593,2,0,0,0,0,0,1,0,0,0
