,multiclase1,ova_1,ova_2,ova_3,ova_4,ova_5,ova_6,ova_7,ova_8,ova_9
0,1,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,0,0,0
13,1,1,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0
16,1,1,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0
18,1,1,0,0,0,0,0,0,0,0
19,1,1,0,0,0,0,0,0,0,0
20,1,1,0,0,0,0,0,0,0,0
21,1,1,0,0,0,0,0,0,0,0
22,1,1,0,0,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0,0,0
24,1,1,0,0,0,0,0,0,0,0
25,1,1,0,0,0,0,0,0,0,0
26,1,1,0,0,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0,0,0
28,1,1,0,0,0,0,0,0,0,0
29,1,1,0,0,0,0,0,0,0,0
30,1,1,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0,0,0
32,1,1,0,0,0,0,0,0,0,0
33,1,1,0,0,0,0,0,0,0,0
34,1,1,0,0,0,0,0,0,0,0
35,1,1,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,0,0,0,0
37,1,1,0,0,0,0,0,0,0,0
38,1,1,0,0,0,0,0,0,0,0
39,1,1,0,0,0,0,0,0,0,0
40,1,1,0,0,0,0,0,0,0,0
41,1,1,0,0,0,0,0,0,0,0
42,1,1,0,0,0,0,0,0,0,0
43,1,1,0,0,0,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0
45,1,1,0,0,0,0,0,0,0,0
46,1,1,0,0,0,0,0,0,0,0
47,1,1,0,0,0,0,0,0,0,0
48,1,1,0,0,0,0,0,0,0,0
49,1,1,0,0,0,0,0,0,0,0
52,1,1,0,0,0,0,0,0,0,0
53,1,1,0,0,0,0,0,0,0,0
54,1,1,0,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,0,0
57,1,1,0,0,0,0,0,0,0,0
58,1,1,0,0,0,0,0,0,0,0
59,1,1,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0
61,1,1,0,0,0,0,0,0,0,0
62,1,1,0,0,0,0,0,0,0,0
63,1,1,0,0,0,0,0,0,0,0
64,1,1,0,0,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0,0,0
66,1,1,0,0,0,0,0,0,0,0
67,1,1,0,0,0,0,0,0,0,0
68,1,1,0,0,0,0,0,0,0,0
69,1,1,0,0,0,0,0,0,0,0
70,1,1,0,0,0,0,0,0,0,0
71,1,1,0,0,0,0,0,0,0,0
72,1,1,0,0,0,0,0,0,0,0
73,1,1,0,0,0,0,0,0,0,0
74,1,1,0,0,0,0,0,0,0,0
75,1,1,0,0,0,0,0,0,0,0
76,1,1,0,0,0,0,0,0,0,0
78,1,1,0,0,0,0,0,0,0,0
79,1,1,0,0,0,0,0,0,0,0
80,1,1,0,0,0,0,0,0,0,0
81,1,1,0,0,0,0,0,0,0,0
82,1,1,0,0,0,0,0,0,0,0
83,1,1,0,0,0,0,0,0,0,0
85,1,1,0,0,0,0,0,0,0,0
86,1,1,0,0,0,0,0,0,0,0
87,1,1,0,0,0,0,0,0,0,0
88,1,1,0,0,0,0,0,0,0,0
89,1,1,0,0,0,0,0,0,0,0
90,1,1,0,0,0,0,0,0,0,0
91,1,1,0,0,0,0,0,0,0,0
92,1,1,0,0,0,0,0,0,0,0
93,1,1,0,0,0,0,0,0,0,0
94,1,1,0,0,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0,0,0
96,1,1,0,0,0,0,0,0,0,0
97,1,1,0,0,0,0,0,0,0,0
98,1,1,0,0,0,0,0,0,0,0
99,1,1,0,0,0,0,0,0,0,0
100,1,1,0,0,0,0,0,0,0,0
101,1,1,0,0,0,0,0,0,0,0
102,1,1,0,0,0,0,0,0,0,0
103,1,1,0,0,0,0,0,0,0,0
104,1,1,0,0,0,0,0,0,0,0
105,1,1,0,0,0,0,0,0,0,0
106,1,1,0,0,0,0,0,0,0,0
107,1,1,0,0,0,0,0,0,0,0
108,1,1,0,0,0,0,0,0,0,0
109,1,1,0,0,0,0,0,0,0,0
110,1,1,0,0,0,0,0,0,0,0
111,1,1,0,0,0,0,0,0,0,0
112,1,1,0,0,0,0,0,0,0,0
113,1,1,0,0,0,0,0,0,0,0
114,1,1,0,0,0,0,0,0,0,0
115,1,1,0,0,0,0,0,0,0,0
116,1,1,0,0,0,0,0,0,0,0
117,1,1,0,0,0,0,0,0,0,0
118,1,1,0,0,0,0,0,0,0,0
119,1,1,0,0,0,0,0,0,0,0
120,1,1,0,0,0,0,0,0,0,0
121,1,1,0,0,0,0,0,0,0,0
122,1,1,0,0,0,0,0,0,0,0
123,1,1,0,0,0,0,0,0,0,0
125,1,1,0,0,0,0,0,0,0,0
126,1,1,0,0,0,0,0,0,0,0
128,1,1,0,0,0,0,0,0,0,0
129,1,1,0,0,0,0,0,0,0,0
130,1,1,0,0,0,0,0,0,0,0
131,1,1,0,0,0,0,0,0,0,0
132,1,1,0,0,0,0,0,0,0,0
133,1,1,0,0,0,0,0,0,0,0
134,1,1,0,0,0,0,0,0,0,0
135,1,1,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,0,0
138,1,1,0,0,0,0,0,0,0,0
139,1,1,0,0,0,0,0,0,0,0
140,1,1,0,0,0,0,0,0,0,0
142,1,1,0,0,0,0,0,0,0,0
143,1,1,0,0,0,0,0,0,0,0
144,1,1,0,0,0,0,0,0,0,0
146,1,1,0,0,0,0,0,0,0,0
147,1,1,0,0,0,0,0,0,0,0
148,1,1,0,0,0,0,0,0,0,0
149,1,1,0,0,0,0,0,0,0,0
150,1,1,0,0,0,0,0,0,0,0
151,1,1,0,0,0,0,0,0,0,0
152,1,1,0,0,0,0,0,0,0,0
153,1,1,0,0,0,0,0,0,0,0
154,1,1,0,0,0,0,0,0,0,0
155,1,1,0,0,0,0,0,0,0,0
156,1,1,0,0,0,0,0,0,0,0
157,1,1,0,0,0,0,0,0,0,0
158,1,1,0,0,0,0,0,0,0,0
159,1,1,0,0,0,0,0,0,0,0
160,1,1,0,0,0,0,0,0,0,0
162,1,1,0,0,0,0,0,0,0,0
163,1,1,0,0,0,0,0,0,0,0
164,1,1,0,0,0,0,0,0,0,0
165,1,1,0,0,0,0,0,0,0,0
166,1,1,0,0,0,0,0,0,0,0
167,1,1,0,0,0,0,0,0,0,0
168,1,1,0,0,0,0,0,0,0,0
169,1,1,0,0,0,0,0,0,0,0
170,1,1,0,0,0,0,0,0,0,0
171,1,1,0,0,0,0,0,0,0,0
172,1,1,0,0,0,0,0,0,0,0
173,1,1,0,0,0,0,0,0,0,0
174,1,1,0,0,0,0,0,0,0,0
175,1,1,0,0,0,0,0,0,0,0
176,1,1,0,0,0,0,0,0,0,0
177,1,1,0,0,0,0,0,0,0,0
178,1,1,0,0,0,0,0,0,0,0
179,1,1,0,0,0,0,0,0,0,0
180,1,1,0,0,0,0,0,0,0,0
181,1,1,0,0,0,0,0,0,0,0
182,1,1,0,0,0,0,0,0,0,0
