,multiclase1,ova_5,ova_1,ova_8,ova_6,ova_2,ova_3,ova_4,ova_7,ova_9
0,5,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0
2,1,0,1,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0
4,5,1,0,0,0,0,0,0,0,0
5,8,0,0,1,0,0,0,0,0,0
6,6,0,0,0,1,0,0,0,0,0
7,1,0,1,0,0,0,0,0,0,0
8,2,0,0,0,0,1,0,0,0,0
9,1,0,1,0,0,0,0,0,0,0
10,1,0,1,0,0,0,0,0,0,0
11,3,0,0,0,0,0,1,0,0,0
12,4,0,0,0,0,0,0,1,0,0
13,6,0,0,0,1,0,0,0,0,0
14,5,1,0,0,0,0,0,0,0,0
15,3,0,0,0,0,0,1,0,0,0
16,1,0,1,0,0,0,0,0,0,0
17,3,0,0,0,0,0,1,0,0,0
18,1,0,1,0,0,0,0,0,0,0
19,4,0,0,0,0,0,0,1,0,0
20,4,0,0,0,0,0,0,1,0,0
21,2,0,0,0,0,1,0,0,0,0
22,7,0,0,0,0,0,0,0,1,0
23,1,0,1,0,0,0,0,0,0,0
24,3,0,0,0,0,0,1,0,0,0
25,5,1,0,0,0,0,0,0,0,0
26,5,1,0,0,0,0,0,0,0,0
27,1,0,1,0,0,0,0,0,0,0
28,3,0,0,0,0,0,1,0,0,0
29,3,0,0,0,0,0,1,0,0,0
30,1,0,1,0,0,0,0,0,0,0
31,4,0,0,0,0,0,0,1,0,0
32,1,0,1,0,0,0,0,0,0,0
33,5,1,0,0,0,0,0,0,0,0
34,2,0,0,0,0,1,0,0,0,0
35,2,0,0,0,0,1,0,0,0,0
36,4,0,0,0,0,0,0,1,0,0
37,2,0,0,0,0,1,0,0,0,0
38,1,0,1,0,0,0,0,0,0,0
39,1,0,1,0,0,0,0,0,0,0
40,3,0,0,0,0,0,1,0,0,0
41,2,0,0,0,0,1,0,0,0,0
42,1,0,1,0,0,0,0,0,0,0
43,5,1,0,0,0,0,0,0,0,0
44,3,0,0,0,0,0,1,0,0,0
45,3,0,0,0,0,0,1,0,0,0
46,1,0,1,0,0,0,0,0,0,0
47,1,0,1,0,0,0,0,0,0,0
48,9,0,0,0,0,0,0,0,0,1
49,2,0,0,0,0,1,0,0,0,0
50,5,1,0,0,0,0,0,0,0,0
51,4,0,0,0,0,0,0,1,0,0
52,2,0,0,0,0,1,0,0,0,0
53,1,0,1,0,0,0,0,0,0,0
54,6,0,0,0,1,0,0,0,0,0
55,1,0,1,0,0,0,0,0,0,0
56,4,0,0,0,0,0,0,1,0,0
57,1,0,1,0,0,0,0,0,0,0
58,5,1,0,0,0,0,0,0,0,0
59,1,0,1,0,0,0,0,0,0,0
60,6,0,0,0,1,0,0,0,0,0
61,1,0,1,0,0,0,0,0,0,0
62,1,0,1,0,0,0,0,0,0,0
63,1,0,1,0,0,0,0,0,0,0
64,3,0,0,0,0,0,1,0,0,0
65,1,0,1,0,0,0,0,0,0,0
66,5,1,0,0,0,0,0,0,0,0
67,1,0,1,0,0,0,0,0,0,0
68,2,0,0,0,0,1,0,0,0,0
69,3,0,0,0,0,0,1,0,0,0
70,1,0,1,0,0,0,0,0,0,0
71,4,0,0,0,0,0,0,1,0,0
72,4,0,0,0,0,0,0,1,0,0
73,5,1,0,0,0,0,0,0,0,0
74,1,0,1,0,0,0,0,0,0,0
75,9,0,0,0,0,0,0,0,0,1
76,3,0,0,0,0,0,1,0,0,0
77,4,0,0,0,0,0,0,1,0,0
78,4,0,0,0,0,0,0,1,0,0
79,1,0,1,0,0,0,0,0,0,0
80,1,0,1,0,0,0,0,0,0,0
81,5,1,0,0,0,0,0,0,0,0
82,5,1,0,0,0,0,0,0,0,0
83,2,0,0,0,0,1,0,0,0,0
84,1,0,1,0,0,0,0,0,0,0
85,4,0,0,0,0,0,0,1,0,0
86,1,0,1,0,0,0,0,0,0,0
87,1,0,1,0,0,0,0,0,0,0
88,2,0,0,0,0,1,0,0,0,0
89,4,0,0,0,0,0,0,1,0,0
90,1,0,1,0,0,0,0,0,0,0
91,1,0,1,0,0,0,0,0,0,0
92,4,0,0,0,0,0,0,1,0,0
93,1,0,1,0,0,0,0,0,0,0
94,5,1,0,0,0,0,0,0,0,0
95,1,0,1,0,0,0,0,0,0,0
96,1,0,1,0,0,0,0,0,0,0
97,8,0,0,1,0,0,0,0,0,0
98,8,0,0,1,0,0,0,0,0,0
99,4,0,0,0,0,0,0,1,0,0
100,1,0,1,0,0,0,0,0,0,0
101,1,0,1,0,0,0,0,0,0,0
102,7,0,0,0,0,0,0,0,1,0
103,1,0,1,0,0,0,0,0,0,0
104,3,0,0,0,0,0,1,0,0,0
105,1,0,1,0,0,0,0,0,0,0
106,1,0,1,0,0,0,0,0,0,0
107,1,0,1,0,0,0,0,0,0,0
108,3,0,0,0,0,0,1,0,0,0
109,5,1,0,0,0,0,0,0,0,0
110,2,0,0,0,0,1,0,0,0,0
111,1,0,1,0,0,0,0,0,0,0
112,1,0,1,0,0,0,0,0,0,0
113,1,0,1,0,0,0,0,0,0,0
114,1,0,1,0,0,0,0,0,0,0
115,5,1,0,0,0,0,0,0,0,0
116,1,0,1,0,0,0,0,0,0,0
117,8,0,0,1,0,0,0,0,0,0
118,1,0,1,0,0,0,0,0,0,0
119,6,0,0,0,1,0,0,0,0,0
120,1,0,1,0,0,0,0,0,0,0
121,2,0,0,0,0,1,0,0,0,0
122,4,0,0,0,0,0,0,1,0,0
123,2,0,0,0,0,1,0,0,0,0
124,4,0,0,0,0,0,0,1,0,0
125,1,0,1,0,0,0,0,0,0,0
126,1,0,1,0,0,0,0,0,0,0
127,4,0,0,0,0,0,0,1,0,0
128,8,0,0,1,0,0,0,0,0,0
129,2,0,0,0,0,1,0,0,0,0
130,4,0,0,0,0,0,0,1,0,0
131,1,0,1,0,0,0,0,0,0,0
132,7,0,0,0,0,0,0,0,1,0
133,1,0,1,0,0,0,0,0,0,0
134,1,0,1,0,0,0,0,0,0,0
135,1,0,1,0,0,0,0,0,0,0
136,4,0,0,0,0,0,0,1,0,0
137,2,0,0,0,0,1,0,0,0,0
138,3,0,0,0,0,0,1,0,0,0
139,8,0,0,1,0,0,0,0,0,0
140,3,0,0,0,0,0,1,0,0,0
141,1,0,1,0,0,0,0,0,0,0
142,5,1,0,0,0,0,0,0,0,0
143,1,0,1,0,0,0,0,0,0,0
144,8,0,0,1,0,0,0,0,0,0
145,5,1,0,0,0,0,0,0,0,0
146,2,0,0,0,0,1,0,0,0,0
147,2,0,0,0,0,1,0,0,0,0
148,8,0,0,1,0,0,0,0,0,0
149,1,0,1,0,0,0,0,0,0,0
150,1,0,1,0,0,0,0,0,0,0
151,1,0,1,0,0,0,0,0,0,0
152,1,0,1,0,0,0,0,0,0,0
153,3,0,0,0,0,0,1,0,0,0
154,4,0,0,0,0,0,0,1,0,0
155,4,0,0,0,0,0,0,1,0,0
156,1,0,1,0,0,0,0,0,0,0
157,1,0,1,0,0,0,0,0,0,0
158,1,0,1,0,0,0,0,0,0,0
159,1,0,1,0,0,0,0,0,0,0
160,2,0,0,0,0,1,0,0,0,0
161,7,0,0,0,0,0,0,0,1,0
162,3,0,0,0,0,0,1,0,0,0
163,1,0,1,0,0,0,0,0,0,0
164,1,0,1,0,0,0,0,0,0,0
165,1,0,1,0,0,0,0,0,0,0
166,1,0,1,0,0,0,0,0,0,0
167,5,1,0,0,0,0,0,0,0,0
168,1,0,1,0,0,0,0,0,0,0
169,1,0,1,0,0,0,0,0,0,0
170,4,0,0,0,0,0,0,1,0,0
171,2,0,0,0,0,1,0,0,0,0
172,1,0,1,0,0,0,0,0,0,0
173,1,0,1,0,0,0,0,0,0,0
174,3,0,0,0,0,0,1,0,0,0
175,1,0,1,0,0,0,0,0,0,0
176,4,0,0,0,0,0,0,1,0,0
177,3,0,0,0,0,0,1,0,0,0
178,1,0,1,0,0,0,0,0,0,0
179,4,0,0,0,0,0,0,1,0,0
180,3,0,0,0,0,0,1,0,0,0
181,9,0,0,0,0,0,0,0,0,1
182,4,0,0,0,0,0,0,1,0,0
183,1,0,1,0,0,0,0,0,0,0
184,4,0,0,0,0,0,0,1,0,0
185,4,0,0,0,0,0,0,1,0,0
186,1,0,1,0,0,0,0,0,0,0
187,1,0,1,0,0,0,0,0,0,0
188,4,0,0,0,0,0,0,1,0,0
189,6,0,0,0,1,0,0,0,0,0
190,1,0,1,0,0,0,0,0,0,0
191,6,0,0,0,1,0,0,0,0,0
192,1,0,1,0,0,0,0,0,0,0
193,1,0,1,0,0,0,0,0,0,0
194,1,0,1,0,0,0,0,0,0,0
195,2,0,0,0,0,1,0,0,0,0
196,1,0,1,0,0,0,0,0,0,0
197,1,0,1,0,0,0,0,0,0,0
198,1,0,1,0,0,0,0,0,0,0
199,2,0,0,0,0,1,0,0,0,0
200,2,0,0,0,0,1,0,0,0,0
201,2,0,0,0,0,1,0,0,0,0
202,1,0,1,0,0,0,0,0,0,0
203,4,0,0,0,0,0,0,1,0,0
204,1,0,1,0,0,0,0,0,0,0
205,1,0,1,0,0,0,0,0,0,0
206,4,0,0,0,0,0,0,1,0,0
207,4,0,0,0,0,0,0,1,0,0
208,2,0,0,0,0,1,0,0,0,0
209,4,0,0,0,0,0,0,1,0,0
210,7,0,0,0,0,0,0,0,1,0
211,1,0,1,0,0,0,0,0,0,0
212,4,0,0,0,0,0,0,1,0,0
213,2,0,0,0,0,1,0,0,0,0
214,2,0,0,0,0,1,0,0,0,0
215,1,0,1,0,0,0,0,0,0,0
216,5,1,0,0,0,0,0,0,0,0
217,1,0,1,0,0,0,0,0,0,0
218,1,0,1,0,0,0,0,0,0,0
219,1,0,1,0,0,0,0,0,0,0
220,1,0,1,0,0,0,0,0,0,0
221,4,0,0,0,0,0,0,1,0,0
222,5,1,0,0,0,0,0,0,0,0
223,1,0,1,0,0,0,0,0,0,0
224,3,0,0,0,0,0,1,0,0,0
225,1,0,1,0,0,0,0,0,0,0
226,1,0,1,0,0,0,0,0,0,0
227,5,1,0,0,0,0,0,0,0,0
228,1,0,1,0,0,0,0,0,0,0
229,1,0,1,0,0,0,0,0,0,0
230,3,0,0,0,0,0,1,0,0,0
231,2,0,0,0,0,1,0,0,0,0
232,9,0,0,0,0,0,0,0,0,1
233,1,0,1,0,0,0,0,0,0,0
234,4,0,0,0,0,0,0,1,0,0
235,2,0,0,0,0,1,0,0,0,0
236,1,0,1,0,0,0,0,0,0,0
237,1,0,1,0,0,0,0,0,0,0
238,2,0,0,0,0,1,0,0,0,0
239,1,0,1,0,0,0,0,0,0,0
240,1,0,1,0,0,0,0,0,0,0
241,2,0,0,0,0,1,0,0,0,0
242,5,1,0,0,0,0,0,0,0,0
243,1,0,1,0,0,0,0,0,0,0
244,4,0,0,0,0,0,0,1,0,0
245,1,0,1,0,0,0,0,0,0,0
246,4,0,0,0,0,0,0,1,0,0
247,1,0,1,0,0,0,0,0,0,0
248,2,0,0,0,0,1,0,0,0,0
249,1,0,1,0,0,0,0,0,0,0
250,1,0,1,0,0,0,0,0,0,0
251,4,0,0,0,0,0,0,1,0,0
252,4,0,0,0,0,0,0,1,0,0
253,4,0,0,0,0,0,0,1,0,0
254,1,0,1,0,0,0,0,0,0,0
255,4,0,0,0,0,0,0,1,0,0
256,2,0,0,0,0,1,0,0,0,0
257,1,0,1,0,0,0,0,0,0,0
258,5,1,0,0,0,0,0,0,0,0
259,1,0,1,0,0,0,0,0,0,0
260,1,0,1,0,0,0,0,0,0,0
261,1,0,1,0,0,0,0,0,0,0
262,1,0,1,0,0,0,0,0,0,0
263,2,0,0,0,0,1,0,0,0,0
264,2,0,0,0,0,1,0,0,0,0
265,3,0,0,0,0,0,1,0,0,0
266,2,0,0,0,0,1,0,0,0,0
267,2,0,0,0,0,1,0,0,0,0
268,1,0,1,0,0,0,0,0,0,0
269,5,1,0,0,0,0,0,0,0,0
270,8,0,0,1,0,0,0,0,0,0
271,3,0,0,0,0,0,1,0,0,0
272,1,0,1,0,0,0,0,0,0,0
273,1,0,1,0,0,0,0,0,0,0
274,8,0,0,1,0,0,0,0,0,0
275,1,0,1,0,0,0,0,0,0,0
276,1,0,1,0,0,0,0,0,0,0
277,1,0,1,0,0,0,0,0,0,0
278,4,0,0,0,0,0,0,1,0,0
279,5,1,0,0,0,0,0,0,0,0
280,4,0,0,0,0,0,0,1,0,0
281,1,0,1,0,0,0,0,0,0,0
282,1,0,1,0,0,0,0,0,0,0
283,1,0,1,0,0,0,0,0,0,0
284,2,0,0,0,0,1,0,0,0,0
285,4,0,0,0,0,0,0,1,0,0
286,5,1,0,0,0,0,0,0,0,0
287,4,0,0,0,0,0,0,1,0,0
288,3,0,0,0,0,0,1,0,0,0
289,1,0,1,0,0,0,0,0,0,0
290,3,0,0,0,0,0,1,0,0,0
291,1,0,1,0,0,0,0,0,0,0
292,5,1,0,0,0,0,0,0,0,0
293,8,0,0,1,0,0,0,0,0,0
294,4,0,0,0,0,0,0,1,0,0
295,1,0,1,0,0,0,0,0,0,0
296,3,0,0,0,0,0,1,0,0,0
297,1,0,1,0,0,0,0,0,0,0
298,1,0,1,0,0,0,0,0,0,0
299,2,0,0,0,0,1,0,0,0,0
300,1,0,1,0,0,0,0,0,0,0
301,4,0,0,0,0,0,0,1,0,0
302,6,0,0,0,1,0,0,0,0,0
303,3,0,0,0,0,0,1,0,0,0
304,1,0,1,0,0,0,0,0,0,0
305,1,0,1,0,0,0,0,0,0,0
306,5,1,0,0,0,0,0,0,0,0
307,4,0,0,0,0,0,0,1,0,0
308,7,0,0,0,0,0,0,0,1,0
309,4,0,0,0,0,0,0,1,0,0
310,2,0,0,0,0,1,0,0,0,0
311,4,0,0,0,0,0,0,1,0,0
312,1,0,1,0,0,0,0,0,0,0
313,1,0,1,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,1,0,0
315,1,0,1,0,0,0,0,0,0,0
316,3,0,0,0,0,0,1,0,0,0
317,1,0,1,0,0,0,0,0,0,0
318,4,0,0,0,0,0,0,1,0,0
319,1,0,1,0,0,0,0,0,0,0
320,8,0,0,1,0,0,0,0,0,0
321,1,0,1,0,0,0,0,0,0,0
322,2,0,0,0,0,1,0,0,0,0
323,7,0,0,0,0,0,0,0,1,0
324,1,0,1,0,0,0,0,0,0,0
325,2,0,0,0,0,1,0,0,0,0
326,1,0,1,0,0,0,0,0,0,0
327,9,0,0,0,0,0,0,0,0,1
328,4,0,0,0,0,0,0,1,0,0
329,4,0,0,0,0,0,0,1,0,0
330,4,0,0,0,0,0,0,1,0,0
331,1,0,1,0,0,0,0,0,0,0
332,4,0,0,0,0,0,0,1,0,0
333,1,0,1,0,0,0,0,0,0,0
334,6,0,0,0,1,0,0,0,0,0
335,1,0,1,0,0,0,0,0,0,0
336,4,0,0,0,0,0,0,1,0,0
337,1,0,1,0,0,0,0,0,0,0
338,1,0,1,0,0,0,0,0,0,0
339,8,0,0,1,0,0,0,0,0,0
340,5,1,0,0,0,0,0,0,0,0
