,multiclase1
3131,7
3589,8
2696,6
4105,9
2252,5
3905,8
1651,3
1312,2
509,2
2587,5
3020,6
3497,7
1191,2
3988,8
3935,8
4057,9
912,4
1359,2
1964,4
1883,4
2101,4
4086,9
2370,5
2275,5
595,2
3299,7
2183,4
1380,2
2529,5
4150,9
2833,6
407,1
356,1
3391,7
2718,6
1466,2
134,1
3218,7
1746,3
3864,8
730,3
2422,5
4124,9
4123,9
598,2
4059,9
1429,2
1184,2
2249,5
1528,3
1257,2
4060,9
2023,4
3293,7
1598,3
3957,8
1952,4
3649,8
2412,5
638,2
3628,8
2030,4
105,1
3551,8
2336,5
4449,9
2746,6
669,3
1766,3
550,2
2029,4
1830,3
617,2
2863,6
2180,4
205,1
336,1
139,1
1231,2
3996,9
3694,8
323,1
1235,2
4138,9
1834,3
342,1
995,5
3932,8
3650,8
1058,7
5,1
1418,2
678,3
1525,3
4062,9
2201,5
1565,3
4470,9
4213,9
1381,2
1264,2
2337,5
4441,9
2548,5
3857,8
2167,4
213,1
3785,8
2948,6
2225,5
2393,5
283,1
3909,8
3946,8
2391,5
3669,8
340,1
4187,9
31,1
1101,8
114,1
2699,6
2652,6
1224,2
1260,2
3059,7
2799,6
1761,3
547,2
1204,2
2925,6
1344,2
2617,6
2048,4
2058,4
2297,5
1007,5
4401,9
440,1
3422,7
882,4
434,1
3023,6
2947,6
716,3
1023,6
864,4
1491,3
4088,9
54,1
2832,6
2689,6
2474,5
308,1
4416,9
1543,3
2269,5
2282,5
2803,6
4358,9
1601,3
3273,7
1526,3
3345,7
3495,7
1044,6
1638,3
3462,7
3187,7
728,3
3264,7
3427,7
361,1
173,1
1398,2
44,1
3087,7
2856,6
2481,5
588,2
1289,2
4012,9
1372,2
4206,9
2735,6
334,1
2153,4
3494,7
3683,8
185,1
762,3
1394,2
3860,8
4414,9
4363,9
4417,9
1470,2
1338,2
2062,4
2730,6
3567,8
622,2
599,2
2482,5
328,1
2778,6
1756,3
2461,5
103,1
1684,3
2408,5
1292,2
1132,9
363,1
1327,2
1379,2
2413,5
1814,3
3963,8
70,1
1666,3
1301,2
1592,3
851,4
414,1
1639,3
650,2
1266,2
3875,8
69,1
672,3
2666,6
3783,8
901,4
2967,6
1724,3
3069,7
3660,8
2558,5
3984,8
2695,6
3605,8
2979,6
2047,4
2788,6
2747,6
2496,5
2076,4
