,0
0,8
1,6
2,1
3,4
4,1
5,7
6,5
7,1
8,3
9,4
10,4
11,2
12,7
13,2
14,6
15,1
16,7
17,5
18,8
19,9
20,2
21,4
22,6
23,6
24,8
25,2
26,7
27,6
28,3
29,4
30,8
31,4
32,7
33,6
34,8
35,8
36,9
37,6
38,2
39,1
40,5
41,9
42,3
43,4
44,9
45,2
46,6
47,4
48,5
49,8
50,1
51,3
52,1
53,6
54,3
55,9
56,2
57,5
58,8
59,3
60,6
61,3
62,1
63,3
64,2
65,6
66,2
67,2
68,2
69,4
70,5
71,2
72,3
73,5
74,8
75,9
76,5
77,2
78,5
79,4
80,1
81,9
82,6
83,3
84,4
85,8
86,9
87,3
88,1
89,9
90,5
91,7
92,7
93,3
94,8
95,8
96,1
97,2
98,8
99,6
100,5
101,4
102,2
103,4
104,3
105,9
106,8
107,4
108,2
109,9
110,6
111,6
112,5
113,8
114,9
115,2
116,5
117,3
118,4
119,1
120,6
121,8
122,5
123,3
124,4
125,1
126,9
127,7
128,7
129,1
130,8
131,1
132,6
133,4
134,9
135,2
136,8
137,8
138,6
139,5
140,5
141,3
142,5
143,8
144,7
145,2
146,8
147,6
148,7
149,4
150,2
151,9
152,6
153,6
154,6
155,6
156,1
157,8
158,3
159,1
160,6
161,3
162,1
163,5
164,4
165,1
166,1
167,9
168,2
169,7
170,5
171,1
172,8
173,4
174,7
175,8
176,3
177,7
178,2
179,2
180,9
181,3
182,3
183,1
184,3
185,8
186,4
187,2
188,1
189,1
190,8
191,9
192,1
193,7
194,3
195,9
196,2
197,1
198,6
199,5
200,9
201,9
202,1
203,4
204,1
205,9
206,2
207,3
208,7
209,7
210,1
211,3
212,3
213,2
214,2
215,9
216,4
217,1
218,3
219,3
220,7
221,3
222,1
223,9
224,9
225,7
226,8
227,5
228,3
229,9
230,8
231,9
232,7
233,2
234,3
235,2
236,9
237,6
238,3
239,5
240,3
241,5
242,3
243,2
244,5
245,9
246,6
247,1
248,5
249,2
250,7
251,8
252,4
253,3
254,3
255,3
256,4
257,4
258,6
259,6
260,7
261,6
262,7
263,7
264,5
265,2
266,2
267,9
268,8
269,5
270,7
271,4
272,5
273,1
274,7
275,3
276,7
277,6
278,7
279,4
280,8
281,8
282,7
283,4
284,3
285,9
286,1
287,1
288,9
289,7
290,6
291,2
292,1
293,6
294,8
295,5
296,6
297,8
298,9
299,2
300,7
301,5
302,2
303,2
304,6
305,8
306,8
307,5
308,3
309,1
310,6
311,8
312,9
313,5
314,9
315,7
316,3
317,9
318,1
319,7
320,7
321,7
322,3
323,4
324,1
325,8
326,8
327,1
328,4
329,3
330,7
331,9
332,7
333,7
334,7
335,4
336,8
337,9
338,6
339,9
340,3
341,9
342,2
343,3
344,2
345,7
346,9
347,2
348,3
349,2
350,1
351,9
352,7
353,9
354,7
355,5
356,2
357,4
358,2
359,8
360,7
361,1
362,1
363,1
364,3
365,1
366,8
367,5
368,1
369,4
370,4
371,5
372,8
373,8
374,2
375,9
376,9
377,8
378,5
379,2
380,4
381,5
382,1
383,4
384,5
385,3
386,7
387,1
388,3
389,9
390,6
391,5
392,3
393,7
394,2
395,3
396,7
397,5
398,8
399,8
400,2
401,9
402,6
403,5
404,5
405,1
406,5
407,3
408,4
409,8
410,1
411,7
412,3
413,2
414,3
415,6
416,5
417,4
418,5
419,9
420,1
421,8
422,4
423,6
424,3
425,1
426,8
427,8
428,7
429,8
430,8
431,5
432,9
433,8
434,6
435,1
436,8
437,9
438,2
439,9
440,4
441,5
442,7
443,5
444,5
445,6
446,1
447,3
448,5
449,8
450,1
451,1
452,3
453,1
454,8
455,8
456,1
457,2
458,3
459,2
460,3
461,9
462,3
463,3
464,6
465,1
466,8
467,8
468,2
469,4
470,1
471,3
472,9
473,4
474,3
475,2
476,3
477,7
478,3
479,3
480,5
481,6
482,2
483,3
484,6
485,5
486,2
487,4
488,2
489,6
490,1
491,6
492,5
493,3
494,8
495,2
496,1
497,5
498,9
499,4
500,8
501,1
502,6
503,9
504,4
505,6
506,2
507,1
508,3
509,7
510,7
511,4
512,4
513,1
