indice,CIE DL,CIE Da,CIE Db,CIE DC,CIE DH,y,XGBoost,KNeighbors,RedesNeuronales,SVC,GaussianNB,RandomF,CantCoincidencia
2906,0.1634580827310302,-0.999162884576977,0.4599035624214261,0.0859258834369685,1.6100556743533163,0,0,0,0,0,0,0,6
3567,0.1440480071468199,-0.6883633355423422,-2.275136769327885,-1.869238533237361,0.1007941458016009,0,0,0,0,0,0,0,6
2782,0.4223083851078025,2.093398753454549,-0.4222835918629385,1.4414356614024275,-1.0252881450181983,0,1,1,1,1,1,1,0
2771,0.0531595335815017,1.572260959988311,0.2706946390462213,1.313824358026258,0.3956009409706739,0,1,1,1,1,0,1,1
2401,0.5869034041525231,-0.2420038338188748,-0.5872338269313141,0.0765826450752013,-0.6735852938754282,0,1,1,1,1,0,1,1
4058,-0.1308611136525731,0.5136257863746466,0.2965179460106291,-0.2806809128276801,0.5892753559476203,0,0,0,0,0,0,0,6
3103,0.9783027413613647,-1.6302012046073118,0.04430789210237,-0.4299435536751258,1.2463178810645827,0,0,0,0,0,0,0,6
10,-0.3568818825726458,0.2665079597117969,-0.0192521501713488,0.1636142717582097,0.6523032482660511,0,0,0,0,0,0,0,6
2536,-0.0294793086857762,0.1254404271222566,-0.375931981224403,0.3412560891484547,-0.3864023712642451,0,1,1,1,1,0,1,1
1313,0.5123389899322055,0.201373205852261,0.0851063211520405,0.0434503179318175,0.57844784051034,0,0,0,0,0,0,0,6
3640,0.1648453398371089,-0.7998012933897855,-1.8996578183796824,-1.5213609736284457,0.3388597437160888,0,0,0,0,0,0,0,6
2370,0.5491236038294641,0.5675312347944009,0.4697746917369352,0.8002932768545185,1.0565375305952385,0,1,1,0,1,0,1,2
4671,-1.6476298921473658,0.4349509374313607,-0.2902184049628321,0.5643444435184853,-0.2220156837527533,0,0,0,0,0,0,0,6
2857,0.2629488705669514,-1.0002308178534314,0.424734731609126,0.0702361836389048,1.5520989647257513,0,0,0,0,0,0,0,6
3197,-0.0509077920639315,-1.5160886531503812,-0.7390181048201192,-0.7313004429479584,-0.1592722367329204,0,0,0,0,0,0,0,6
995,0.2569198993748565,-0.642649489327889,-0.9877802459136084,-0.239276383268758,-1.3021412956575356,0,1,1,1,1,0,1,1
2890,0.5450888166250599,-0.7326700499738195,0.4436261295232663,0.2172360666860799,1.4416713036957138,0,0,0,0,0,0,0,6
134,-1.33896473368865,0.3589646494446464,0.1178037124336879,0.0472236380837524,0.8107717248003962,0,0,0,0,0,0,0,6
1607,0.8166633689578953,-0.2270582371051779,0.2045904983883956,0.5815965040370115,0.1994520531428857,1,0,0,0,0,0,0,0
4760,-1.5805727012921076,0.0461708643840762,-0.1492822989742272,0.3558387241541447,0.0901926864340653,0,0,0,0,0,0,0,6
2729,0.7301958327073441,3.949743888102156,0.312312610432627,2.6582184829588384,-0.1938055717949323,0,1,1,1,1,1,1,0
1308,0.5567325014009519,-0.1778247635286816,0.5099783630885507,-0.3935247587940533,0.2096093600555509,0,0,0,0,0,0,0,6
719,0.379680255764357,0.0199567870908651,-0.1106227252413733,0.3247705337689968,0.0184293421286716,1,0,0,0,0,0,0,0
3017,0.3690606321502805,-0.6792496346409971,0.0052593934931543,0.0429175578089364,0.67736118085543,0,0,0,0,0,0,0,6
1011,0.7377312952337334,3.810681066137691,0.3462301501087492,2.5899113275872825,-0.104823917398041,0,1,1,1,1,1,1,0
828,-0.1727413479883951,-0.1495471440860254,1.13201709571096,0.8798643251394856,-1.9536228102987316,0,0,0,0,0,0,0,6
480,-1.3594247930868997,-0.0416810060643677,-0.1197597827483757,0.2352392770963373,0.264935861182097,0,0,0,0,0,0,0,6
3990,-0.2847262574391901,0.4433556103282636,0.3560314379814436,-0.3253073659072414,0.4904497512316268,0,0,0,0,0,0,0,6
4776,-1.556794267357077,-0.0679826578515456,-0.1148782060815814,0.2915826195680336,0.1686972748257416,0,0,0,0,0,0,0,6
4305,-2.073041657818171,-0.1074978461479681,0.2127946734721087,0.3093561932497001,0.8045841760572519,0,0,0,0,0,0,0,6
2178,0.3819308228555753,0.2225396276529327,1.5921744022142583,0.9504596606169324,-2.918636891444239,0,0,0,0,0,0,0,6
1412,-0.1571362371596501,0.1380088380423273,0.443795332807879,-0.308018171169953,0.5597887006241051,0,0,0,0,0,0,0,6
4361,-1.603595356533237,0.0118903045481015,-0.0792459739317433,0.3407140353170046,0.2320053929647541,0,0,0,0,0,0,0,6
2369,0.0485326444181464,-3.0227985791504426,-1.5188081850269668,-1.7011421393232344,-1.628550193985766,0,1,1,1,1,1,1,0
2316,-0.3251261255074282,-0.1994627394965911,0.6302077199014146,0.6443917858636197,-1.1165592001320466,0,0,0,0,0,0,0,6
4666,-1.3594535000721957,-0.7439986320443562,-0.0215540420087189,-0.0825432960110518,0.4512346709778261,0,0,0,0,0,0,0,6
