,multiclase1,ova_7,ova_8,ova_6,ova_9,ova_5,ova_3,ova_4,ova_2,ova_1
3501,7,1,0,0,0,0,0,0,0,0
3588,8,0,1,0,0,0,0,0,0,0
2695,6,0,0,1,0,0,0,0,0,0
3988,9,0,0,0,1,0,0,0,0,0
2251,5,0,0,0,0,1,0,0,0,0
2683,6,0,0,1,0,0,0,0,0,0
1457,3,0,0,0,0,0,1,0,0,0
1907,4,0,0,0,0,0,0,1,0,0
509,2,0,0,0,0,0,0,0,1,0
2908,6,0,0,1,0,0,0,0,0,0
4407,9,0,0,0,1,0,0,0,0,0
3496,7,1,0,0,0,0,0,0,0,0
2316,5,0,0,0,0,1,0,0,0,0
4279,9,0,0,0,1,0,0,0,0,0
1356,2,0,0,0,0,0,0,0,1,0
2062,4,0,0,0,0,0,0,1,0,0
3339,7,1,0,0,0,0,0,0,0,0
1487,3,0,0,0,0,0,1,0,0,0
2349,5,0,0,0,0,1,0,0,0,0
2975,6,0,0,1,0,0,0,0,0,0
1364,2,0,0,0,0,0,0,0,1,0
4084,9,0,0,0,1,0,0,0,0,0
2369,5,0,0,0,0,1,0,0,0,0
1640,3,0,0,0,0,0,1,0,0,0
595,2,0,0,0,0,0,0,0,1,0
3298,7,1,0,0,0,0,0,0,0,0
1505,3,0,0,0,0,0,1,0,0,0
1379,2,0,0,0,0,0,0,0,1,0
3185,7,1,0,0,0,0,0,0,0,0
3822,8,0,1,0,0,0,0,0,0,0
2832,6,0,0,1,0,0,0,0,0,0
407,1,0,0,0,0,0,0,0,0,1
356,1,0,0,0,0,0,0,0,0,1
1546,3,0,0,0,0,0,1,0,0,0
1412,2,0,0,0,0,0,0,0,1,0
2335,5,0,0,0,0,1,0,0,0,0
134,1,0,0,0,0,0,0,0,0,1
4184,9,0,0,0,1,0,0,0,0,0
3714,8,0,1,0,0,0,0,0,0,0
3504,7,1,0,0,0,0,0,0,0,0
730,3,0,0,0,0,0,1,0,0,0
2250,5,0,0,0,0,1,0,0,0,0
4122,9,0,0,0,1,0,0,0,0,0
3393,7,1,0,0,0,0,0,0,0,0
598,2,0,0,0,0,0,0,0,1,0
2599,6,0,0,1,0,0,0,0,0,0
1188,2,0,0,0,0,0,0,0,1,0
3728,8,0,1,0,0,0,0,0,0,0
2248,5,0,0,0,0,1,0,0,0,0
1429,3,0,0,0,0,0,1,0,0,0
2965,6,0,0,1,0,0,0,0,0,0
4058,9,0,0,0,1,0,0,0,0,0
2482,5,0,0,0,0,1,0,0,0,0
2597,6,0,0,1,0,0,0,0,0,0
2246,5,0,0,0,0,1,0,0,0,0
1558,3,0,0,0,0,0,1,0,0,0
1950,4,0,0,0,0,0,0,1,0,0
4436,9,0,0,0,1,0,0,0,0,0
2302,5,0,0,0,0,1,0,0,0,0
638,3,0,0,0,0,0,1,0,0,0
3217,7,1,0,0,0,0,0,0,0,0
2295,5,0,0,0,0,1,0,0,0,0
105,1,0,0,0,0,0,0,0,0,1
3622,8,0,1,0,0,0,0,0,0,0
4363,9,0,0,0,1,0,0,0,0,0
4229,9,0,0,0,1,0,0,0,0,0
2745,6,0,0,1,0,0,0,0,0,0
669,3,0,0,0,0,0,1,0,0,0
1764,3,0,0,0,0,0,1,0,0,0
550,2,0,0,0,0,0,0,0,1,0
4132,9,0,0,0,1,0,0,0,0,0
2422,5,0,0,0,0,1,0,0,0,0
617,2,0,0,0,0,0,0,0,1,0
1173,2,0,0,0,0,0,0,0,1,0
4427,9,0,0,0,1,0,0,0,0,0
205,1,0,0,0,0,0,0,0,0,1
336,1,0,0,0,0,0,0,0,0,1
139,1,0,0,0,0,0,0,0,0,1
4223,9,0,0,0,1,0,0,0,0,0
4446,9,0,0,0,1,0,0,0,0,0
2011,4,0,0,0,0,0,0,1,0,0
323,1,0,0,0,0,0,0,0,0,1
4242,9,0,0,0,1,0,0,0,0,0
3724,8,0,1,0,0,0,0,0,0,0
1491,3,0,0,0,0,0,1,0,0,0
342,1,0,0,0,0,0,0,0,0,1
994,6,0,0,1,0,0,0,0,0,0
1606,3,0,0,0,0,0,1,0,0,0
2382,5,0,0,0,0,1,0,0,0,0
2486,5,0,0,0,0,1,0,0,0,0
5,1,0,0,0,0,0,0,0,0,1
1211,2,0,0,0,0,0,0,0,1,0
678,3,0,0,0,0,0,1,0,0,0
2376,5,0,0,0,0,1,0,0,0,0
4060,9,0,0,0,1,0,0,0,0,0
2200,5,0,0,0,0,1,0,0,0,0
1563,3,0,0,0,0,0,1,0,0,0
4468,9,0,0,0,1,0,0,0,0,0
2167,4,0,0,0,0,0,0,1,0,0
2659,6,0,0,1,0,0,0,0,0,0
1263,2,0,0,0,0,0,0,0,1,0
2336,5,0,0,0,0,1,0,0,0,0
4439,9,0,0,0,1,0,0,0,0,0
2547,5,0,0,0,0,1,0,0,0,0
3856,8,0,1,0,0,0,0,0,0,0
3489,7,1,0,0,0,0,0,0,0,0
213,1,0,0,0,0,0,0,0,0,1
2329,5,0,0,0,0,1,0,0,0,0
2531,5,0,0,0,0,1,0,0,0,0
1622,3,0,0,0,0,0,1,0,0,0
2392,5,0,0,0,0,1,0,0,0,0
283,1,0,0,0,0,0,0,0,0,1
3908,8,0,1,0,0,0,0,0,0,0
4114,9,0,0,0,1,0,0,0,0,0
2390,5,0,0,0,0,1,0,0,0,0
3668,8,0,1,0,0,0,0,0,0,0
340,1,0,0,0,0,0,0,0,0,1
4260,9,0,0,0,1,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,1
1249,2,0,0,0,0,0,0,0,1,0
114,1,0,0,0,0,0,0,0,0,1
2698,6,0,0,1,0,0,0,0,0,0
1065,9,0,0,0,1,0,0,0,0,0
4036,9,0,0,0,1,0,0,0,0,0
1583,3,0,0,0,0,0,1,0,0,0
3058,7,1,0,0,0,0,0,0,0,0
2749,6,0,0,1,0,0,0,0,0,0
2219,5,0,0,0,0,1,0,0,0,0
547,2,0,0,0,0,0,0,0,1,0
4206,9,0,0,0,1,0,0,0,0,0
3285,7,1,0,0,0,0,0,0,0,0
1664,3,0,0,0,0,0,1,0,0,0
3774,8,0,1,0,0,0,0,0,0,0
2690,6,0,0,1,0,0,0,0,0,0
1849,4,0,0,0,0,0,0,1,0,0
3919,8,0,1,0,0,0,0,0,0,0
1007,6,0,0,1,0,0,0,0,0,0
2087,4,0,0,0,0,0,0,1,0,0
440,1,0,0,0,0,0,0,0,0,1
3559,8,0,1,0,0,0,0,0,0,0
882,4,0,0,0,0,0,0,1,0,0
434,1,0,0,0,0,0,0,0,0,1
3865,8,0,1,0,0,0,0,0,0,0
2387,5,0,0,0,0,1,0,0,0,0
716,3,0,0,0,0,0,1,0,0,0
1023,7,1,0,0,0,0,0,0,0,0
864,4,0,0,0,0,0,0,1,0,0
2473,5,0,0,0,0,1,0,0,0,0
4086,9,0,0,0,1,0,0,0,0,0
